毛泽东,近现代,沁园春·雪,北国风光，千里冰封，万里雪飘。望长城内外，惟余莽莽；大河上下，顿失滔滔。(余通：馀)山舞银蛇，原驰蜡象，欲与天公试比高。(原驰原作：原驱)须晴日，看红装素裹，分外妖娆。(红装一作：银装)江山如此多娇，引无数英雄竞折腰。惜秦皇汉武，略输文采；唐宗宋祖，稍逊风骚。一代天骄，成吉思汗，只识弯弓射大雕。俱往矣，数风流人物，还看今朝。,雪
岑参,唐代,白雪歌送武判官归京,北风卷地白草折，胡天八月即飞雪。忽如一夜春风来，千树万树梨花开。散入珠帘湿罗幕，狐裘不暖锦衾薄。将军角弓不得控，都护铁衣冷难着。(难着一作：犹著)瀚海阑干百丈冰，愁云惨淡万里凝。中军置酒饮归客，胡琴琵琶与羌笛。纷纷暮雪下辕门，风掣红旗冻不翻。轮台东门送君去，去时雪满天山路。山回路转不见君，雪上空留马行处。,雪
杜甫,唐代,绝句,两个黄鹂鸣翠柳，一行白鹭上青天。窗含西岭千秋雪，门泊东吴万里船。,雪
张岱,明代,湖心亭看雪,崇祯五年十二月，余住西湖。大雪三日，湖中人鸟声俱绝。是日更定矣，余拏一小舟，拥毳衣炉火，独往湖心亭看雪。雾凇沆砀，天与云与山与水，上下一白。湖上影子，惟长堤一痕、湖心亭一点、与余舟一芥、舟中人两三粒而已。(余拏一作：余挐)　　到亭上，有两人铺毡对坐，一童子烧酒炉正沸。见余大喜曰：“湖中焉得更有此人！”拉余同饮。余强饮三大白而别。问其姓氏，是金陵人，客此。及下船，舟子喃喃曰：“莫说相公痴，更有痴似相公者。”,雪
卢钺,宋代,雪梅,梅雪争春未肯降，骚人阁笔费评章。梅须逊雪三分白，雪却输梅一段香。,雪
韩愈,唐代,春雪,新年都未有芳华，二月初惊见草芽。白雪却嫌春色晚，故穿庭树作飞花。,雪
刘长卿,唐代,逢雪宿芙蓉山主人,日暮苍山远，天寒白屋贫。柴门闻犬吠，风雪夜归人。,雪
刘义庆,南北朝,咏雪,谢太傅寒雪日内集，与儿女讲论文义。俄而雪骤，公欣然曰：“白雪纷纷何所似？”兄子胡儿曰：“撒盐空中差可拟。”兄女曰：“未若柳絮因风起。”公大笑乐。即公大兄无奕女，左将军王凝之妻也。,雪
白居易,唐代,夜雪,已讶衾枕冷，复见窗户明。夜深知雪重，时闻折竹声。,雪
陆游,宋代,除夜雪,北风吹雪四更初，嘉瑞天教及岁除。半盏屠苏犹未举，灯前小草写桃符。,雪
